City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,Iqaluit,63.75,-68.51,42.8,56,90,5.82,CA,2020-06-18 17:17:13
191,Buraydah,26.33,43.98,96.8,14,0,10.29,SA,2020-06-18 17:20:28
192,Balestrand,61.21,6.53,80.01,31,46,9.17,NO,2020-06-18 17:20:29
193,San Quintin,30.48,-115.95,64.78,67,98,8.39,MX,2020-06-18 17:18:01
194,Qaqortoq,60.72,-46.03,42.8,70,75,10.29,GL,2020-06-18 17:14:11
195,Sehithwa,-20.47,22.72,58.69,39,0,7.29,BW,2020-06-18 17:20:29
196,Bukachacha,52.98,116.92,50.7,89,42,2.53,RU,2020-06-18 17:20:29
197,Laguna,38.42,-121.42,82.99,27,1,4.7,US,2020-06-18 17:16:21
198,Kavaratti,10.57,72.64,84.97,79,100,14.45,IN,2020-06-18 17:17:58
199,Terney,45.05,136.61,49.51,90,81,4.83,RU,2020-06-18 17:20:30
200,Strathmore,51.05,-113.39,57.0,66,75,10.29,CA,2020-06-18 17:20:30
201,Derzhavinsk,51.1,66.32,56.86,57,60,13.04,KZ,2020-06-18 17:20:31
202,Peterhead,57.51,-1.8,59.0,82,90,8.05,GB,2020-06-18 17:20:31
203,Vakhtan,57.97,46.69,57.81,69,0,3.62,RU,2020-06-18 17:20:31
204,Grindavik,63.84,-22.43,50.0,76,75,23.04,IS,2020-06-18 17:19:19
205,Taoudenni,22.68,-3.98,114.48,6,21,10.11,ML,2020-06-18 17:18:21
206,Hobyo,5.35,48.53,79.81,72,41,28.12,SO,2020-06-18 17:18:35
207,Shyryayeve,47.38,30.2,67.6,74,28,15.99,UA,2020-06-18 17:20:32
208,Gobabis,-22.45,18.97,66.2,41,0,4.7,NA,2020-06-18 17:20:32
209,Shenzhen,22.55,114.07,88.0,99,2,7.31,CN,2020-06-18 17:20:32
210,Jensen Beach,27.25,-80.23,82.4,74,75,9.75,US,2020-06-18 17:20:32
211,Touros,-5.2,-35.46,75.2,94,90,9.17,BR,2020-06-18 17:17:37
212,Airai,-8.93,125.41,57.52,100,92,3.89,TL,2020-06-18 17:17:22
213,Provideniya,64.38,-173.3,56.21,57,12,2.68,RU,2020-06-18 17:13:27
214,Izmit,40.77,29.92,66.2,93,40,1.36,TR,2020-06-18 17:19:13
215,Kieta,-6.22,155.63,78.91,80,1,3.6,PG,2020-06-18 17:20:33
216,Rawson,-43.3,-65.1,59.05,42,49,23.22,AR,2020-06-18 17:19:26
217,Byron Bay,-28.65,153.62,62.6,72,90,12.75,AU,2020-06-18 17:17:54
218,Churapcha,62.0,132.43,59.2,66,78,4.18,RU,2020-06-18 17:20:34
219,Matara,5.95,80.54,80.51,89,91,6.55,LK,2020-06-18 17:17:01
220,Saldanha,-33.01,17.94,68.0,42,0,5.82,ZA,2020-06-18 17:18:19
221,Tazovskiy,67.47,78.7,40.37,69,33,9.62,RU,2020-06-18 17:20:35
222,Saint-Ambroise,48.55,-71.33,93.99,26,20,10.29,CA,2020-06-18 17:20:35
223,Broken Hill,-31.95,141.43,48.2,66,0,9.17,AU,2020-06-18 17:13:21
224,Westport,41.14,-73.36,78.01,83,40,6.93,US,2020-06-18 17:20:36
225,Krasnoarmeysk,51.02,45.7,69.53,80,52,9.42,RU,2020-06-18 17:20:36
226,Puri,19.8,85.85,80.6,94,40,5.82,IN,2020-06-18 17:13:09
227,Saskylakh,71.92,114.08,62.89,61,70,8.25,RU,2020-06-18 17:17:12
228,Ilulissat,69.22,-51.1,35.6,66,90,6.93,GL,2020-06-18 17:17:19
229,Liwale,-9.77,37.93,72.68,59,49,4.43,TZ,2020-06-18 17:20:37
230,Bengkulu,-3.8,102.27,76.57,91,100,5.77,ID,2020-06-18 17:18:01
231,Xichang,27.9,102.26,68.52,70,84,1.77,CN,2020-06-18 17:20:37
232,Hohhot,40.81,111.65,66.2,55,0,8.95,CN,2020-06-18 17:20:37
233,Namibe,-15.2,12.15,74.41,59,0,7.81,AO,2020-06-18 17:17:21
234,Pevek,69.7,170.31,39.45,74,0,10.25,RU,2020-06-18 17:18:15
235,Dhana,23.75,78.85,85.3,57,98,14.43,IN,2020-06-18 17:20:38
236,Lakes Entrance,-37.88,147.98,48.2,77,77,5.61,AU,2020-06-18 17:20:38
237,Dawlatabad,36.41,64.91,80.91,15,0,7.47,AF,2020-06-18 17:20:38
238,San Patricio,19.22,-104.7,86.0,66,20,11.41,MX,2020-06-18 17:17:41
239,Valleyview,55.07,-117.29,62.89,66,10,3.31,CA,2020-06-18 17:20:39
240,Palu,-0.89,119.87,76.95,80,97,2.39,ID,2020-06-18 17:20:40
241,Bantogon,6.53,124.03,78.48,78,100,4.07,PH,2020-06-18 17:20:40
242,Ust-Nera,64.57,143.2,60.06,45,55,1.32,RU,2020-06-18 17:20:40
243,Dodola,6.98,39.18,56.37,78,13,4.23,ET,2020-06-18 17:20:41
244,Teya,60.38,92.63,56.91,65,51,4.7,RU,2020-06-18 17:20:41
245,Ormara,25.21,64.64,84.94,83,11,10.0,PK,2020-06-18 17:20:41
246,Nouakchott,18.09,-15.98,91.4,46,0,20.8,MR,2020-06-18 17:19:03
247,Chapais,49.78,-74.85,87.8,27,1,16.11,CA,2020-06-18 17:18:20
248,Mikhaylovka,50.06,43.24,82.99,41,2,4.0,RU,2020-06-18 17:20:42
249,Usinsk,65.99,57.53,44.51,60,72,4.14,RU,2020-06-18 17:20:42
250,Acarau,-2.89,-40.12,84.69,64,29,13.42,BR,2020-06-18 17:20:43
251,Hami,42.8,93.45,84.72,22,0,18.99,CN,2020-06-18 17:20:43
252,Ufimskiy,56.71,58.05,48.58,69,0,5.3,RU,2020-06-18 17:20:43
253,Olafsvik,64.89,-23.71,49.5,75,98,19.73,IS,2020-06-18 17:18:04
254,Vila Velha,-20.33,-40.29,75.99,73,20,6.93,BR,2020-06-18 17:19:17
