City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain(inches),Snow(inches),Date
310,Douglas,41.3,-96.17,78.01,69,1,4.14,US,clear sky,0.0,0,2020-06-21 02:15:11
311,Vila Velha,-20.33,-40.29,73.4,78,0,13.87,BR,clear sky,0.0,0,2020-06-21 02:12:30
312,Goderich,43.75,-81.72,73.99,66,100,11.56,CA,overcast clouds,0.0,0,2020-06-21 02:16:04
313,Chokurdakh,70.63,147.92,91.18,17,0,8.16,RU,clear sky,0.0,0,2020-06-21 02:16:23
314,Lazaro Cardenas,17.96,-102.2,81.64,67,100,1.72,MX,overcast clouds,0.0,0,2020-06-21 02:16:23
315,Marfino,55.7,37.38,59.0,87,75,11.18,RU,broken clouds,0.0,0,2020-06-21 02:16:24
316,Antofagasta,-23.65,-70.4,57.2,76,75,5.82,CL,broken clouds,0.0,0,2020-06-21 02:16:24
317,Sabzevar,36.21,57.68,84.34,13,67,16.93,IR,broken clouds,0.0,0,2020-06-21 02:16:24
318,Broome,42.25,-75.83,69.01,88,90,4.7,US,overcast clouds,0.0,0,2020-06-21 02:16:24
319,Sambava,-14.27,50.17,74.46,90,100,14.54,MG,moderate rain,2.17,0,2020-06-21 02:16:25
320,Ixtapa,20.7,-105.2,82.4,65,40,9.17,MX,scattered clouds,0.0,0,2020-06-21 02:16:25
321,San Cristobal,7.77,-72.22,64.89,90,62,3.69,VE,broken clouds,0.0,0,2020-06-21 02:16:25
322,Saint-Augustin,51.23,-58.65,43.29,79,73,10.25,CA,broken clouds,0.0,0,2020-06-21 02:16:26
323,Itaituba,-4.28,-55.98,73.96,92,65,1.57,BR,light rain,0.17,0,2020-06-21 02:16:26
324,Vestmannaeyjar,63.44,-20.27,51.21,84,100,20.76,IS,overcast clouds,0.0,0,2020-06-21 02:16:26
325,Deulgaon Raja,20.02,76.03,75.2,88,40,3.36,IN,scattered clouds,0.0,0,2020-06-21 02:16:26
326,Okhtyrka,50.31,34.9,63.72,90,96,11.21,UA,overcast clouds,0.0,0,2020-06-21 02:16:27
327,Saldanha,-33.01,17.94,57.2,93,0,9.17,ZA,light rain,0.17,0,2020-06-21 02:16:27
328,Karratha,-20.74,116.85,75.83,29,0,21.47,AU,clear sky,0.0,0,2020-06-21 02:15:14
329,Zyryanka,65.75,150.85,87.28,23,0,16.96,RU,clear sky,0.0,0,2020-06-21 02:16:28
330,Raudeberg,61.99,5.14,62.01,91,100,3.29,NO,light rain,0.51,0,2020-06-21 02:16:28
331,Campos Altos,-19.7,-46.17,58.78,84,0,2.39,BR,clear sky,0.0,0,2020-06-21 02:16:28
332,Andra,62.51,65.89,45.7,71,41,6.4,RU,scattered clouds,0.0,0,2020-06-21 02:12:05
333,Minervino Murge,41.08,16.08,66.99,77,0,11.41,IT,clear sky,0.0,0,2020-06-21 02:16:28
334,Inhambane,-23.86,35.38,62.22,87,0,6.33,MZ,clear sky,0.0,0,2020-06-21 02:16:29
335,Vershino-Darasunskiy,52.35,115.52,63.72,43,0,7.27,RU,clear sky,0.0,0,2020-06-21 02:16:29
336,Sovetskiy,61.36,63.58,43.14,78,97,8.16,RU,overcast clouds,0.0,0,2020-06-21 02:16:29
337,Pacific Grove,36.62,-121.92,59.0,82,90,8.05,US,overcast clouds,0.0,0,2020-06-21 02:16:29
338,Nelson Bay,-32.72,152.15,55.99,93,90,8.14,AU,light intensity shower rain,0.0,0,2020-06-21 02:16:30
339,Nishihara,26.18,127.76,87.8,74,75,19.46,JP,broken clouds,0.0,0,2020-06-21 02:11:57
340,Severnyy,50.68,36.55,68.0,68,40,6.71,RU,scattered clouds,0.0,0,2020-06-21 02:16:31
341,Noumea,-22.28,166.46,75.2,47,0,5.82,NC,clear sky,0.0,0,2020-06-21 02:16:31
342,Ewo,-0.87,14.82,74.37,80,84,6.26,CG,broken clouds,0.0,0,2020-06-21 02:16:31
343,Airai,-8.93,125.41,69.53,63,0,4.59,TL,clear sky,0.0,0,2020-06-21 02:16:31
344,Maba,24.68,113.6,86.7,71,100,6.8,CN,light rain,0.15,0,2020-06-21 02:16:32
345,Kasempa,-13.46,25.83,47.5,77,0,5.37,ZM,clear sky,0.0,0,2020-06-21 02:16:33
346,Ljungby,56.83,13.94,63.0,100,35,6.93,SE,scattered clouds,0.0,0,2020-06-21 02:16:33
347,Yozgat,39.58,35.33,52.72,85,7,3.44,TR,clear sky,0.0,0,2020-06-21 02:12:32
348,Muros,42.78,-9.06,64.0,87,91,10.0,ES,light rain,0.12,0,2020-06-21 02:12:05
349,Khor,47.89,134.95,60.33,87,100,9.44,RU,moderate rain,1.15,0,2020-06-21 02:12:07
350,Southport,53.65,-3.01,55.0,88,100,1.99,GB,moderate rain,2.13,0,2020-06-21 02:16:34
351,Kutoarjo,-7.72,109.91,68.0,63,75,5.75,ID,broken clouds,0.0,0,2020-06-21 02:16:35
352,Ponta Do Sol,32.67,-17.1,69.8,73,40,16.11,PT,scattered clouds,0.0,0,2020-06-21 02:16:35
353,Kaeo,-35.1,173.78,61.0,3,69,5.01,NZ,broken clouds,0.0,0,2020-06-21 02:16:35
354,Tezu,27.92,96.17,83.68,81,37,1.48,IN,moderate rain,1.29,0,2020-06-21 02:11:45
355,Manzil Salim,35.86,8.48,59.0,67,0,4.7,TN,clear sky,0.0,0,2020-06-21 02:16:36
356,Griffith,41.53,-87.42,77.0,69,40,14.99,US,scattered clouds,0.0,0,2020-06-21 02:12:54
357,Nome,64.5,-165.41,64.4,68,75,14.99,US,broken clouds,0.0,0,2020-06-21 02:16:37
358,Kota Kinabalu,5.97,116.07,84.99,83,20,3.36,MY,few clouds,0.0,0,2020-06-21 02:16:18
359,Camacha,33.08,-16.33,68.0,72,40,9.17,PT,scattered clouds,0.0,0,2020-06-21 02:16:37
360,Abnub,27.27,31.15,73.4,46,0,8.05,EG,clear sky,0.0,0,2020-06-21 02:16:38
361,Vila,42.03,-8.16,51.01,90,27,1.01,PT,scattered clouds,0.0,0,2020-06-21 02:16:38
362,Cayenne,4.93,-52.33,78.8,94,75,5.82,GF,light rain,0.0,0,2020-06-21 02:16:38
